position,lap_time_ms,year,month,day,circuit_id,driver_number,driver_age,pit_next_lap,stint,race_progressed,nationality_id,compound_id,tyre_life,position_change,fast_stop
10,102610,2023,3,5,3,23,30,0,2,0.456140351,19,1,15,0,0
9,110177,2023,3,5,3,23,30,0,3,0.701754386,19,3,14,1,0
5,101171,2024,3,2,3,23,30,0,1,0.263157895,19,1,15,0,0
10,100333,2024,3,2,3,23,30,0,2,0.631578947,19,3,21,0,0
6,102382,2025,4,13,3,23,30,0,1,0.280701754,19,1,16,-1,0
9,127594,2025,4,13,3,23,30,0,2,0.561403509,19,3,16,-1,0
11,121128,2022,8,28,13,23,30,0,1,0.227272727,19,2,10,-4,1
11,120055,2022,8,28,13,23,30,0,2,0.590909091,19,3,16,-2,0
9,118541,2023,7,30,13,23,30,0,1,0.159090909,19,1,7,-2,0
10,119277,2023,7,30,13,23,30,0,2,0.522727273,19,2,16,-1,0
15,117737,2023,7,30,13,23,30,0,3,0.75,19,2,10,-3,0
13,115365,2024,7,28,13,23,30,0,1,0.181818182,19,2,8,-3,0
11,114299,2024,7,28,13,23,30,0,2,0.522727273,19,2,15,-2,1
7,126684,2025,7,27,13,23,30,0,1,0.272727273,19,4,12,-1,0
3,94638,2022,11,20,24,44,41,0,1,0.327272727,5,,,1,1
7,93651,2023,11,26,24,44,41,0,1,0.272727273,5,2,15,1,1
6,91324,2023,11,26,24,44,41,0,2,0.636363636,5,3,20,1,1
4,91792,2024,12,8,24,44,41,0,1,0.618181818,5,3,34,-1,1
14,92249,2025,12,7,24,44,41,0,1,0.145454545,5,1,8,-1,1
8,91397,2025,12,7,24,44,41,0,2,0.563636364,5,3,23,0,1
4,98399,2022,4,10,1,44,41,0,1,0.379310345,5,2,22,-2,1
14,96858,2024,3,24,1,44,41,0,1,0.120689655,5,1,7,-5,1
8,169908,2025,3,16,1,44,41,1,1,0.034482759,5,,,0,1
8,163813,2025,3,16,1,44,41,1,2,0.051724138,5,,,0,1
8,154100,2025,3,16,1,44,41,0,3,0.068965517,5,,,0,1
8,110479,2025,3,16,1,44,41,0,4,0.568965517,5,4,33,0,1
9,150695,2025,3,16,1,44,41,0,5,0.810344828,5,,,-8,1
4,74334,2022,7,10,70,44,41,0,1,0.394366197,5,2,28,0,1
4,73774,2022,7,10,70,44,41,0,2,0.718309859,5,3,23,0,1
4,115179,2023,7,2,70,44,41,0,1,0.028169014,5,2,2,0,1
4,78406,2023,7,2,70,44,41,0,2,0.197183099,5,2,14,0,1
6,74083,2023,7,2,70,44,41,0,3,0.591549296,5,3,28,-2,0
6,75730,2024,6,30,70,44,41,0,1,0.295774648,5,2,21,-1,1
4,75339,2024,6,30,70,44,41,0,2,0.746478873,5,3,32,-1,0
2,74514,2025,6,29,70,44,41,0,1,0.366197183,5,2,26,-1,1
3,73950,2025,6,29,70,44,41,0,2,0.704225352,5,3,24,1,1
6,129357,2022,6,12,73,44,41,0,1,0.176470588,5,2,9,1,1
5,136486,2022,6,12,73,44,41,0,2,0.647058824,5,3,24,0,1
7,113178,2023,4,30,73,44,41,0,1,0.176470588,5,2,9,-2,1
14,115287,2024,9,15,73,44,41,0,1,0.235294118,5,2,12,0,1
6,108550,2025,9,21,73,44,41,0,1,0.705882353,5,3,36,-1,1
5,102945,2022,3,20,3,44,41,0,1,0.192982456,5,1,13,0,0
5,101666,2022,3,20,3,44,41,0,2,0.473684211,5,3,17,0,0
4,101007,2022,3,20,3,44,41,0,3,0.771929825,5,2,17,1,0
7,103336,2023,3,5,3,44,41,0,1,0.210526316,5,1,15,-2,0
6,101175,2023,3,5,3,44,41,0,2,0.526315789,5,3,18,-1,0
7,100889,2024,3,2,3,44,41,0,1,0.210526316,5,1,15,1,0
7,99696,2024,3,2,3,44,41,0,2,0.578947368,5,3,21,0,0
2,101684,2025,4,13,3,44,41,0,1,0.298245614,5,2,17,0,0
5,115663,2025,4,13,3,44,41,0,2,0.561403509,5,2,15,0,0
4,118156,2023,7,30,13,44,41,0,1,0.272727273,5,1,12,0,1
4,116092,2023,7,30,13,44,41,0,2,0.613636364,5,2,15,0,1
4,115220,2023,7,30,13,44,41,0,3,0.954545455,5,1,15,0,1
2,114328,2024,7,28,13,44,41,0,1,0.25,5,2,11,-1,1
1,112047,2024,7,28,13,44,41,0,2,0.590909091,5,3,15,0,1
7,94941,2022,11,20,24,14,45,0,1,0.345454545,18,,,-1,1
8,93378,2023,11,26,24,14,45,0,1,0.218181818,18,2,12,-1,1
4,92048,2023,11,26,24,14,45,0,2,0.654545455,18,3,25,1,1
8,93244,2024,12,8,24,14,45,0,1,0.236363636,18,2,14,0,1
9,91999,2024,12,8,24,14,45,0,2,0.672727273,18,3,25,0,1
5,91928,2025,12,7,24,14,45,0,1,0.290909091,18,2,17,0,1
12,122407,2022,4,10,1,14,45,0,1,0.672413793,18,3,39,-6,1
17,100863,2022,4,10,1,14,45,0,2,0.913793103,18,2,14,-3,1
5,108609,2024,3,24,1,14,45,0,1,0.293103448,18,3,18,-3,1
7,98988,2024,3,24,1,14,45,0,2,0.706896552,18,2,25,-3,1
10,169408,2025,3,16,1,14,45,1,1,0.034482759,18,,,0,1
10,163345,2025,3,16,1,14,45,1,2,0.051724138,18,,,0,1
10,154706,2025,3,16,1,14,45,0,3,0.068965517,18,,,0,1
12,75819,2022,7,10,70,14,45,0,1,0.38028169,18,3,27,-2,1
6,80896,2022,7,10,70,14,45,1,2,0.802816901,18,3,30,1,1
10,112629,2022,7,10,70,14,45,0,3,0.816901408,18,,,-4,0
6,115765,2023,7,2,70,14,45,0,1,0.028169014,18,3,2,0,1
4,93034,2023,7,2,70,14,45,0,2,0.211267606,18,3,15,2,1
5,75313,2023,7,2,70,14,45,0,3,0.61971831,18,2,29,0,1
14,75343,2024,6,30,70,14,45,0,1,0.154929577,18,2,14,-1,1
16,78118,2024,6,30,70,14,45,0,2,0.492957746,18,2,25,-5,0
17,75636,2024,6,30,70,14,45,0,3,0.957746479,18,3,34,0,1
6,75811,2025,6,29,70,14,45,0,1,0.464788732,18,2,34,-1,1
8,116303,2022,6,12,73,14,45,0,1,0.352941176,18,2,18,-3,1
4,148557,2023,4,30,73,14,45,0,1,0.215686275,18,2,11,1,1
8,113492,2024,9,15,73,14,45,0,1,0.215686275,18,2,12,-1,1
11,110767,2025,9,21,73,14,45,0,1,0.411764706,18,2,24,-1,0
11,104265,2022,3,20,3,14,45,0,1,0.192982456,18,1,14,-1,0
10,102836,2022,3,20,3,14,45,0,2,0.438596491,18,2,14,-1,0
12,102925,2022,3,20,3,14,45,0,3,0.736842105,18,3,17,-1,0
4,102212,2023,3,5,3,14,45,0,1,0.245614035,18,1,17,1,0
3,100353,2023,3,5,3,14,45,0,2,0.596491228,18,3,20,1,0
2,101101,2024,3,2,3,14,45,0,1,0.263157895,18,1,18,1,0
9,100261,2024,3,2,3,14,45,0,2,0.719298246,18,3,26,0,0
12,103567,2025,4,13,3,14,45,0,1,0.280701754,18,2,16,-5,0
14,126361,2025,4,13,3,14,45,0,2,0.561403509,18,2,16,-1,0
6,119751,2022,8,28,13,14,45,0,1,0.25,18,2,11,-1,1
8,119470,2022,8,28,13,14,45,0,2,0.568181818,18,2,14,-2,0
5,118157,2023,7,30,13,14,45,0,1,0.227272727,18,2,10,0,1
5,118063,2023,7,30,13,14,45,0,2,0.659090909,18,2,19,-1,0
6,114654,2024,7,28,13,14,45,0,1,0.295454545,18,2,13,-2,1
20,129812,2025,7,27,13,14,45,0,1,0.25,18,4,11,-1,1
16,112557,2025,7,27,13,14,45,0,2,0.659090909,18,2,18,-1,0
17,96222,2022,11,20,24,77,36,0,1,0.545454545,10,,,-2,1
16,94094,2023,11,26,24,77,36,0,1,0.527272727,10,3,29,-1,1
16,93388,2024,12,8,24,77,36,0,1,0.109090909,10,2,6,-3,0
14,99240,2022,4,10,1,77,36,0,1,0.379310345,10,2,22,-8,1
19,137156,2023,4,2,1,77,36,0,1,0.017241379,10,1,1,0,1
14,110643,2023,4,2,1,77,36,0,3,0.913793103,10,3,52,1,1
14,658233,2023,4,2,1,77,36,0,5,0.948275862,10,,,0,0
18,126645,2024,3,24,1,77,36,0,1,0.137931034,10,2,9,-8,0
16,98523,2024,3,24,1,77,36,0,2,0.620689655,10,3,29,-2,1
19,75200,2022,7,10,70,77,36,0,1,0.084507042,10,2,6,0,0
15,75886,2022,7,10,70,77,36,0,2,0.549295775,10,3,33,-1,1
17,120550,2023,7,2,70,77,36,0,1,0.028169014,10,3,2,1,1
18,75575,2023,7,2,70,77,36,0,2,0.295774648,10,3,21,-2,0
15,74528,2023,7,2,70,77,36,0,3,0.563380282,10,2,19,0,1
13,76062,2024,6,30,70,77,36,0,1,0.267605634,10,2,19,-1,1
14,75360,2024,6,30,70,77,36,0,2,0.591549296,10,3,23,-2,1
12,150801,2022,6,12,73,77,36,0,1,0.647058824,10,,,0,1
19,113204,2023,4,30,73,77,36,0,1,0.117647059,10,2,6,-2,1
19,133014,2023,4,30,73,77,36,0,2,0.235294118,10,3,6,0,1
19,111998,2023,4,30,73,77,36,0,3,0.666666667,10,3,22,0,1
20,117809,2024,9,15,73,77,36,0,1,0.215686275,10,2,12,-1,1
11,103736,2022,3,20,3,77,36,0,1,0.245614035,10,1,17,-1,0
7,102299,2022,3,20,3,77,36,0,2,0.631578947,10,2,22,0,0
8,121176,2022,3,20,3,77,36,0,3,0.789473684,10,2,9,1,0
9,103269,2023,3,5,3,77,36,0,1,0.192982456,10,1,11,0,0
9,102220,2023,3,5,3,77,36,0,2,0.50877193,10,3,18,0,0
14,103145,2024,3,2,3,77,36,0,1,0.210526316,10,1,12,1,0
16,101252,2024,3,2,3,77,36,0,2,0.526315789,10,3,18,-1,0
16,120115,2023,7,30,13,77,36,0,1,0.136363636,10,1,6,-3,1
11,118044,2023,7,30,13,77,36,0,2,0.545454545,10,2,18,0,0
11,115226,2024,7,28,13,77,36,0,1,0.25,10,2,11,0,1
14,113284,2024,7,28,13,77,36,0,2,0.795454545,10,3,24,-4,1
17,96422,2022,11,20,24,10,30,0,1,0.254545455,11,,,-1,1
6,94709,2023,11,26,24,10,30,0,1,0.309090909,11,2,17,-1,1
13,92563,2023,11,26,24,10,30,0,2,0.581818182,11,3,15,0,1
4,92241,2024,12,8,24,10,30,0,1,0.254545455,11,2,14,-1,1
17,93540,2025,12,7,24,10,30,0,1,0.236363636,11,2,13,-1,1
16,91907,2025,12,7,24,10,30,0,2,0.727272727,11,3,27,0,1
15,100851,2022,4,10,1,10,30,0,1,0.362068966,11,2,21,-7,1
14,117788,2024,3,24,1,10,30,0,1,0.293103448,11,2,17,-6,1
15,104594,2024,3,24,1,10,30,0,2,0.706896552,11,3,24,-5,1
9,171310,2025,3,16,1,10,30,1,1,0.034482759,11,,,0,1
9,162892,2025,3,16,1,10,30,1,2,0.051724138,11,,,0,1
9,154589,2025,3,16,1,10,30,0,3,0.068965517,11,,,0,1
9,111300,2025,3,16,1,10,30,0,4,0.568965517,11,4,33,0,1
11,116069,2025,3,16,1,10,30,0,5,0.793103448,11,3,13,-7,1
12,75832,2022,7,10,70,10,30,0,1,0.169014085,11,2,12,0,1
14,76459,2022,7,10,70,10,30,0,2,0.563380282,11,3,28,-2,0
9,115719,2023,7,2,70,10,30,0,1,0.028169014,11,2,2,1,1
8,80634,2023,7,2,70,10,30,0,2,0.197183099,11,2,14,0,1
7,75568,2023,7,2,70,10,30,0,3,0.61971831,11,3,30,-1,0
8,75809,2024,6,30,70,10,30,0,1,0.281690141,11,2,20,0,1
10,75358,2024,6,30,70,10,30,0,2,0.591549296,11,3,22,-2,1
11,75976,2025,6,29,70,10,30,0,1,0.169014085,11,1,15,-4,1
12,75313,2025,6,29,70,10,30,0,2,0.535211268,11,3,26,-2,1
5,127392,2022,6,12,73,10,30,0,1,0.176470588,11,2,9,1,1
19,113152,2023,4,30,73,10,30,0,1,0.098039216,11,2,5,-4,1
16,112208,2023,4,30,73,10,30,0,2,0.450980392,11,3,18,-1,1
12,145969,2024,9,15,73,10,30,0,1,0.980392157,11,3,50,2,1
18,110710,2025,9,21,73,10,30,0,1,0.68627451,11,3,35,-2,1
7,104005,2022,3,20,3,10,30,0,1,0.245614035,11,1,17,0,0
8,102305,2022,3,20,3,10,30,0,2,0.561403509,11,2,18,0,0
19,104201,2023,3,5,3,10,30,0,1,0.157894737,11,1,9,-1,0
12,102288,2023,3,5,3,10,30,0,2,0.438596491,11,3,16,0,0
10,109707,2023,3,5,3,10,30,0,3,0.701754386,11,3,15,1,0
12,101456,2024,3,2,3,10,30,0,1,0.210526316,11,1,12,2,0
16,100432,2024,3,2,3,10,30,0,2,0.543859649,11,3,19,-1,0
17,99291,2024,3,2,3,10,30,0,3,0.754385965,11,3,12,0,0
6,104215,2025,4,13,3,10,30,0,1,0.175438596,11,1,13,-1,0
6,101166,2025,4,13,3,10,30,0,2,0.49122807,11,2,18,-1,0
18,120981,2022,8,28,13,10,30,0,1,0.227272727,11,2,10,-2,1
14,119515,2022,8,28,13,10,30,0,2,0.5,11,3,12,-2,1
8,121280,2023,7,30,13,10,30,0,1,0.522727273,11,1,23,-2,0
14,116010,2024,7,28,13,10,30,0,1,0.204545455,11,2,9,-3,1
13,113715,2024,7,28,13,10,30,0,2,0.636363636,11,3,19,-2,1
17,96622,2022,11,20,24,6,31,0,1,0.272727273,6,,,1,1
19,118173,2022,11,20,24,6,31,0,2,0.690909091,6,,,-3,0
19,104388,2022,4,10,1,6,31,0,1,0.224137931,6,2,13,-3,1
18,119640,2022,4,10,1,6,31,0,2,0.396551724,6,3,11,1,1
16,75485,2022,7,10,70,6,31,0,1,0.169014085,6,2,12,0,1
19,75703,2022,7,10,70,6,31,0,2,0.492957746,6,3,23,0,1
20,117544,2022,6,12,73,6,31,0,1,0.058823529,6,2,3,-1,0
19,117707,2022,6,12,73,6,31,0,2,0.333333333,6,2,17,0,1
18,105315,2022,3,20,3,6,31,0,1,0.245614035,6,1,14,1,0
20,104577,2022,3,20,3,6,31,0,2,0.561403509,6,1,18,-2,0
17,131603,2022,3,20,3,6,31,0,3,0.789473684,6,2,13,2,0
18,182851,2022,8,28,13,6,31,0,1,0.068181818,6,,,0,0
14,122821,2022,8,28,13,6,31,0,2,0.340909091,6,2,13,-3,0
18,119932,2022,8,28,13,6,31,0,3,0.772727273,6,3,19,-1,1
1,93538,2022,11,20,24,16,28,0,1,0.381818182,16,,,1,1
1,92468,2023,11,26,24,16,28,0,1,0.309090909,16,2,17,1,1
2,91443,2023,11,26,24,16,28,0,2,0.636363636,16,3,18,0,1
4,92189,2024,12,8,24,16,28,0,1,0.363636364,16,2,20,0,1
4,91990,2025,12,7,24,16,28,0,1,0.290909091,16,2,16,0,1
4,90239,2025,12,7,24,16,28,0,2,0.709090909,16,3,23,0,1
1,98340,2022,4,10,1,16,28,0,1,0.379310345,16,2,22,0,1
5,96036,2024,3,24,1,16,28,0,1,0.155172414,16,2,9,-2,1
4,95962,2024,3,24,1,16,28,0,2,0.586206897,16,3,25,-2,1
5,167233,2025,3,16,1,16,28,1,1,0.034482759,16,,,0,1
5,162161,2025,3,16,1,16,28,1,2,0.051724138,16,,,0,1
5,155802,2025,3,16,1,16,28,0,3,0.068965517,16,,,0,1
5,133905,2025,3,16,1,16,28,0,4,0.586206897,16,4,34,0,1
10,152457,2025,3,16,1,16,28,0,5,0.810344828,16,,,-8,0
1,74801,2022,7,10,70,16,28,0,1,0.366197183,16,2,26,0,1
1,74540,2022,7,10,70,16,28,0,2,0.690140845,16,3,23,0,1
1,84522,2022,7,10,70,16,28,0,3,0.816901408,16,,,0,1
2,115468,2023,7,2,70,16,28,0,1,0.028169014,16,2,2,0,1
2,93780,2023,7,2,70,16,28,0,2,0.211267606,16,2,15,0,1
2,73741,2023,7,2,70,16,28,0,3,0.661971831,16,2,32,0,1
18,82085,2024,6,30,70,16,28,0,1,0.014084507,16,2,1,0,0
19,75204,2024,6,30,70,16,28,0,2,0.225352113,16,3,15,0,1
18,74757,2024,6,30,70,16,28,0,3,0.464788732,16,2,17,0,1
13,73925,2024,6,30,70,16,28,0,4,0.718309859,16,2,19,-1,1
2,75052,2025,6,29,70,16,28,0,1,0.352112676,16,2,25,0,1
3,73884,2025,6,29,70,16,28,0,2,0.690140845,16,3,24,0,1
3,119045,2022,6,12,73,16,28,0,1,0.176470588,16,2,9,-1,1
2,144960,2023,4,30,73,16,28,0,1,0.215686275,16,2,11,0,1
1,113844,2024,9,15,73,16,28,0,1,0.31372549,16,2,16,0,1
7,109688,2025,9,21,73,16,28,0,1,0.37254902,16,2,22,0,1
1,102041,2022,3,20,3,16,28,0,1,0.263157895,16,1,15,0,0
1,101545,2022,3,20,3,16,28,0,2,0.543859649,16,1,19,0,0
1,125151,2022,3,20,3,16,28,0,3,0.807017544,16,2,15,0,0
3,102068,2023,3,5,3,16,28,0,1,0.228070175,16,1,13,-1,0
3,101323,2023,3,5,3,16,28,0,2,0.578947368,16,3,20,0,0
6,101737,2024,3,2,3,16,28,0,1,0.192982456,16,1,14,-2,0
4,99614,2024,3,2,3,16,28,0,2,0.596491228,16,3,23,0,0
1,101560,2025,4,13,3,16,28,0,1,0.298245614,16,2,17,0,0
3,111116,2025,4,13,3,16,28,0,2,0.561403509,16,2,15,0,0
12,187212,2022,8,28,13,16,28,0,1,0.068181818,16,,,-3,0
5,119575,2022,8,28,13,16,28,0,2,0.568181818,16,2,22,0,1
5,118112,2022,8,28,13,16,28,0,3,0.954545455,16,2,17,0,1
3,117485,2023,7,30,13,16,28,0,1,0.295454545,16,1,13,0,1
3,115953,2023,7,30,13,16,28,0,2,0.636363636,16,2,15,0,1
1,114091,2024,7,28,13,16,28,0,1,0.272727273,16,2,12,0,1
3,112358,2024,7,28,13,16,28,0,2,0.568181818,16,3,13,-1,1
18,95327,2022,11,20,24,20,33,0,1,0.509090909,8,,,1,1
20,93881,2023,11,26,24,20,33,0,1,0.090909091,8,2,5,-1,1
20,94337,2023,11,26,24,20,33,0,2,0.4,8,3,17,-3,1
9,92565,2024,12,8,24,20,33,0,1,0.218181818,8,2,12,0,0
13,91849,2024,12,8,24,20,33,1,2,0.527272727,8,3,17,-1,1
16,121980,2024,12,8,24,20,33,0,3,0.545454545,8,3,1,-3,1
16,91958,2024,12,8,24,20,33,0,4,1,8,1,25,0,1
16,123232,2022,4,10,1,20,33,0,1,0.672413793,8,3,39,-7,1
18,117790,2023,4,2,1,20,33,0,1,0.120689655,8,2,7,-6,1
15,97945,2024,3,24,1,20,33,0,1,0.120689655,8,2,7,-3,1
13,97802,2024,3,24,1,20,33,0,2,0.568965517,8,3,26,-2,1
7,75677,2022,7,10,70,20,33,0,1,0.211267606,8,2,15,-3,1
8,76340,2022,7,10,70,20,33,0,2,0.577464789,8,3,26,-1,1
8,91308,2023,7,2,70,20,33,1,1,0.014084507,8,3,1,0,0
19,135420,2023,7,2,70,20,33,0,2,0.028169014,8,2,1,-11,0
16,77880,2023,7,2,70,20,33,0,3,0.478873239,8,,,-1,1
12,75218,2024,6,30,70,20,33,0,1,0.14084507,8,2,10,-2,1
10,75311,2024,6,30,70,20,33,0,2,0.535211268,8,3,28,-1,1
14,133804,2022,6,12,73,20,33,0,1,0.176470588,8,2,11,1,1
12,122819,2023,4,30,73,20,33,0,1,0.196078431,8,2,10,-2,0
6,104244,2022,3,20,3,20,33,0,1,0.245614035,8,1,14,0,0
6,103256,2022,3,20,3,20,33,0,2,0.596491228,8,1,23,1,0
7,126178,2022,3,20,3,20,33,0,3,0.807017544,8,2,12,0,0
11,104899,2023,3,5,3,20,33,0,1,0.263157895,8,3,15,-2,0
13,101979,2023,3,5,3,20,33,0,2,0.50877193,8,3,14,-1,0
15,117797,2023,3,5,3,20,33,0,3,0.701754386,8,1,11,1,0
12,101088,2024,3,2,3,20,33,0,1,0.192982456,8,1,11,0,0
13,100565,2024,3,2,3,20,33,0,2,0.561403509,8,3,21,-2,0
16,121489,2022,8,28,13,20,33,0,1,0.25,8,2,11,-3,0
14,120400,2022,8,28,13,20,33,0,2,0.613636364,8,3,16,1,1
18,119429,2023,7,30,13,20,33,0,1,0.113636364,8,1,5,0,0
9,118299,2023,7,30,13,20,33,0,2,0.568181818,8,2,20,-1,0
12,114556,2024,7,28,13,20,33,0,1,0.386363636,8,2,17,-3,0
14,94647,2022,11,20,24,47,27,0,1,0.254545455,12,,,1,1
15,93827,2022,11,20,24,47,27,0,2,0.618181818,12,,,-1,0
18,101908,2022,4,10,1,47,27,0,1,0.24137931,12,2,16,-3,1
6,75447,2022,7,10,70,47,27,0,1,0.225352113,12,2,16,-1,1
6,74781,2022,7,10,70,47,27,0,2,0.605633803,12,3,27,0,1
18,136935,2022,6,12,73,47,27,0,1,0.176470588,12,3,9,1,0
17,117701,2022,6,12,73,47,27,0,2,0.450980392,12,2,16,0,1
17,105949,2022,3,20,3,47,27,0,1,0.210526316,12,1,12,-1,0
14,103748,2022,3,20,3,47,27,0,2,0.614035088,12,2,23,0,0
16,123227,2022,8,28,13,47,27,0,1,0.318181818,12,2,14,-3,0
16,119187,2022,8,28,13,47,27,0,2,0.681818182,12,3,16,-1,0
7,94516,2022,11,20,24,4,26,0,1,0.272727273,5,,,0,1
6,93097,2022,11,20,24,4,26,0,2,0.763636364,5,,,0,1
3,92394,2023,11,26,24,4,26,0,1,0.254545455,5,2,14,0,0
4,91445,2023,11,26,24,4,26,0,2,0.6,5,3,19,0,1
1,91567,2024,12,8,24,4,26,0,1,0.472727273,5,2,26,0,1
3,91722,2025,12,7,24,4,26,0,1,0.290909091,5,2,16,0,1
3,90069,2025,12,7,24,4,26,0,2,0.727272727,5,3,24,0,1
10,99107,2022,4,10,1,4,26,0,1,0.344827586,5,2,20,-5,1
3,98099,2024,3,24,1,4,26,0,1,0.24137931,5,2,14,-1,1
2,96023,2024,3,24,1,4,26,0,2,0.689655172,5,3,27,0,1
1,169888,2025,3,16,1,4,26,1,1,0.034482759,5,,,0,1
1,161723,2025,3,16,1,4,26,1,2,0.051724138,5,,,0,1
1,156053,2025,3,16,1,4,26,0,3,0.068965517,5,,,0,1
1,122273,2025,3,16,1,4,26,0,4,0.586206897,5,4,34,0,1
6,105587,2025,3,16,1,4,26,0,5,0.75862069,5,3,11,-5,1
8,75224,2022,7,10,70,4,26,0,1,0.197183099,5,2,14,0,1
7,74820,2022,7,10,70,4,26,0,2,0.605633803,5,3,29,0,0
5,114938,2023,7,2,70,4,26,0,1,0.028169014,5,2,2,0,1
5,79855,2023,7,2,70,4,26,0,2,0.197183099,5,2,14,0,1
7,74505,2023,7,2,70,4,26,0,3,0.577464789,5,3,27,-3,1
2,75037,2024,6,30,70,4,26,0,1,0.323943662,5,2,23,0,1
2,74573,2024,6,30,70,4,26,0,2,0.718309859,5,3,28,0,1
2,73982,2025,6,29,70,4,26,0,1,0.281690141,5,2,20,-1,1
2,73952,2025,6,29,70,4,26,0,2,0.732394366,5,3,32,-1,1
8,115814,2022,6,12,73,4,26,0,1,0.392156863,5,2,20,-3,1
9,112343,2023,4,30,73,4,26,0,1,0.176470588,5,2,9,-1,1
6,111037,2024,9,15,73,4,26,0,1,0.725490196,5,3,37,-1,1
4,108087,2025,9,21,73,4,26,0,1,0.725490196,5,2,37,0,1
17,105759,2022,3,20,3,4,26,0,1,0.421052632,5,2,24,-1,0
16,102153,2022,3,20,3,4,26,0,2,0.719298246,5,3,17,-1,0
16,132350,2022,3,20,3,4,26,0,3,0.789473684,5,1,4,2,0
13,103521,2023,3,5,3,4,26,0,1,0.175438596,5,1,10,-1,0
15,101501,2023,3,5,3,4,26,0,2,0.298245614,5,3,7,-1,0
17,100973,2023,3,5,3,4,26,0,3,0.473684211,5,1,13,1,0
18,100197,2023,3,5,3,4,26,0,4,0.649122807,5,2,10,0,0
17,100433,2023,3,5,3,4,26,0,5,0.824561404,5,3,10,0,0
17,99789,2023,3,5,3,4,26,0,6,0.947368421,5,1,11,0,0
3,100635,2024,3,2,3,4,26,0,1,0.228070175,5,1,16,1,0
5,99626,2024,3,2,3,4,26,0,2,0.578947368,5,3,20,0,0
4,101534,2025,4,13,3,4,26,0,1,0.175438596,5,1,13,-1,0
4,111704,2025,4,13,3,4,26,0,2,0.561403509,5,2,22,0,0
11,120657,2022,8,28,13,4,26,0,1,0.295454545,5,2,13,-2,1
12,118878,2022,8,28,13,4,26,0,2,0.659090909,5,3,16,-2,0
17,120430,2023,7,30,13,4,26,0,1,0.113636364,5,2,5,-7,0
16,118917,2023,7,30,13,4,26,0,2,0.386363636,5,3,12,0,0
2,113928,2024,7,28,13,4,26,0,1,0.340909091,5,2,15,0,1
3,111781,2024,7,28,13,4,26,0,2,0.659090909,5,3,14,0,1
10,94944,2022,11,20,24,31,29,0,1,0.254545455,11,,,-2,1
8,93031,2022,11,20,24,31,29,0,2,0.745454545,11,,,-1,1
8,93667,2023,11,26,24,31,29,0,1,0.272727273,11,2,15,1,1
4,93060,2025,12,7,24,31,29,0,1,0.345454545,11,2,19,-1,1
17,101475,2022,4,10,1,31,29,0,1,0.293103448,11,2,17,-9,1
